NPI,TIN,TYPE,NEGOTIATION_ARRANGEMENT,BILLING_CODE_TYPE,BILLING_CODE,NEGOTIATED_TYPE,NEGOTIATED_RATE,BILLING_CLASS
1235191800,222773462,ein,ffs,CPT,99213,negotiated,63.22,professional
1336593631,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1427015270,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1902327778,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1083963581,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1104325547,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1588693196,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1699225532,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1609332980,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1265833743,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1497314769,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1760836522,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1386718229,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1487830048,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1144777392,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1770165664,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1265914774,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1326494386,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1447264148,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1669455424,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1609202928,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1801246475,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1336379353,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1124575394,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1881650414,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1952787913,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1144575523,356067049,ein,ffs,CPT,99213,negotiated,88.58,professional
1316961964,391789197,ein,ffs,CPT,99213,negotiated,292.81,professional
1295983427,43148397,ein,ffs,CPT,99213,negotiated,45.82,professional
1538208038,742700916,ein,ffs,CPT,99213,negotiated,49.3,professional
1770576365,10644730,ein,ffs,CPT,99213,negotiated,41.89,professional
1760475354,10644730,ein,ffs,CPT,99213,negotiated,41.89,professional
1104375070,840446259,ein,ffs,CPT,99213,negotiated,65.39,professional
1417147141,860335255,ein,ffs,CPT,99213,negotiated,41.89,professional
1275115461,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1720459605,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1508315391,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1194105692,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1386653756,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1851788244,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1366792491,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1437235058,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1629596044,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1972076735,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1245699453,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1902214307,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1710433909,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1619388329,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1437508660,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1487320495,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1124599451,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1821342320,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1467780239,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1134520315,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1144740010,61744704,ein,ffs,CPT,99213,negotiated,75.29,professional
1437172756,475528329,ein,ffs,CPT,99213,negotiated,44.0,professional
1134148943,853179144,ein,ffs,CPT,99213,negotiated,66.22,professional
1134325756,421480644,ein,ffs,CPT,99213,negotiated,141.8,professional
1689010340,452719892,ein,ffs,CPT,99213,negotiated,74.12,professional
